month-year,cases
5/1/2019 0:00,1436
6/1/2019 0:00,1535
7/1/2019 0:00,1647
8/1/2019 0:00,1648
9/1/2019 0:00,1537
10/1/2019 0:00,1378
11/1/2019 0:00,1965
12/1/2019 0:00,2648
1/1/2020 0:00,2641
2/1/2020 0:00,1558
3/1/2020 0:00,1636
4/1/2020 0:00,3013
5/1/2020 0:00,2179
6/1/2020 0:00,1796
7/1/2020 0:00,1701
8/1/2020 0:00,1505
9/1/2020 0:00,1673
10/1/2020 0:00,1692
11/1/2020 0:00,1332
12/1/2020 0:00,2836
1/1/2021 0:00,2747
2/1/2021 0:00,2192
3/1/2021 0:00,2123
4/1/2021 0:00,1440
5/1/2021 0:00,1216
6/1/2021 0:00,1689
7/1/2021 0:00,1963
8/1/2021 0:00,2086
9/1/2021 0:00,2053
10/1/2021 0:00,2304
11/1/2021 0:00,2704
12/1/2021 0:00,3000
1/1/2022 0:00,2520
2/1/2022 0:00,2433
3/1/2022 0:00,2661
4/1/2022 0:00,2048
5/1/2022 0:00,1857
6/1/2022 0:00,1805
7/1/2022 0:00,1996
8/1/2022 0:00,2343
9/1/2022 0:00,2223
10/1/2022 0:00,2581
11/1/2022 0:00,3315
12/1/2022 0:00,3546
1/1/2023 0:00,3177
2/1/2023 0:00,2411
3/1/2023 0:00,2657
4/1/2023 0:00,1854
5/1/2023 0:00,2067
6/1/2023 0:00,1936
7/1/2023 0:00,1779
8/1/2023 0:00,2172
9/1/2023 0:00,2242
10/1/2023 0:00,2571
11/1/2023 0:00,2721
12/1/2023 0:00,3550
1/1/2024 0:00,3022
2/1/2024 0:00,2883
3/1/2024 0:00,2393
4/1/2024 0:00,1857
5/1/2024 0:00,2132
6/1/2024 0:00,1874
7/1/2024 0:00,2294
8/1/2024 0:00,3096
9/1/2024 0:00,3079
10/1/2024 0:00,3889
11/1/2024 0:00,3522
12/1/2024 0:00,4234
