month-year,cases,expenditures
6/1/2017 0:00,1346,14106774
7/1/2017 0:00,1351,5290386
8/1/2017 0:00,1658,8948305
9/1/2017 0:00,1633,8611549
10/1/2017 0:00,1845,7548565
11/1/2017 0:00,2333,8689352
12/1/2017 0:00,3318,7908405
1/1/2018 0:00,2668,10890266
2/1/2018 0:00,2270,8105627
3/1/2018 0:00,2247,9135146
4/1/2018 0:00,1424,9028768
5/1/2018 0:00,1498,8805974
6/1/2018 0:00,1296,16474357
7/1/2018 0:00,1472,6337571
8/1/2018 0:00,1573,7305423
9/1/2018 0:00,1542,8562804
10/1/2018 0:00,1977,7871771
11/1/2018 0:00,2023,13246874
12/1/2018 0:00,2749,9389171
1/1/2019 0:00,2193,8886603
2/1/2019 0:00,1607,8465748
3/1/2019 0:00,1541,9109524
4/1/2019 0:00,1538,8541438
5/1/2019 0:00,1436,8227701
6/1/2019 0:00,1535,13345244
7/1/2019 0:00,1647,6704946
8/1/2019 0:00,1648,7649852
9/1/2019 0:00,1537,8309104
10/1/2019 0:00,1378,8438671
11/1/2019 0:00,1965,7481376
12/1/2019 0:00,2648,10052460
1/1/2020 0:00,2641,8596590
2/1/2020 0:00,1558,8120266
3/1/2020 0:00,1636,9766873
4/1/2020 0:00,3013,13101595
5/1/2020 0:00,2179,7870326
6/1/2020 0:00,1796,11833051
7/1/2020 0:00,1701,12817457
8/1/2020 0:00,1505,7485464
9/1/2020 0:00,1673,13464688
10/1/2020 0:00,1692,17101365
11/1/2020 0:00,1332,8361170
12/1/2020 0:00,2836,10635431
1/1/2021 0:00,2747,10227740
2/1/2021 0:00,2192,10195034
3/1/2021 0:00,2123,9438534
4/1/2021 0:00,1440,8221719
5/1/2021 0:00,1216,9054996
6/1/2021 0:00,1689,9354496
7/1/2021 0:00,1963,20557955
8/1/2021 0:00,2086,7396760
9/1/2021 0:00,2053,8215294
10/1/2021 0:00,2304,8707339
11/1/2021 0:00,2704,9408442
12/1/2021 0:00,3000,9844009
1/1/2022 0:00,2520,9755882
2/1/2022 0:00,2433,9061986
3/1/2022 0:00,2661,8344298
4/1/2022 0:00,2048,9985669
5/1/2022 0:00,1857,8391167
6/1/2022 0:00,1805,15448806
7/1/2022 0:00,1996,23313568
8/1/2022 0:00,2343,7644472
9/1/2022 0:00,2223,10295107
10/1/2022 0:00,2581,9221975
11/1/2022 0:00,3315,10815594
12/1/2022 0:00,3546,13028982
1/1/2023 0:00,3177,9522302
2/1/2023 0:00,2411,9709093
3/1/2023 0:00,2657,11276913
4/1/2023 0:00,1854,8788210
5/1/2023 0:00,2067,14077542
6/1/2023 0:00,1936,13127904
7/1/2023 0:00,1779,9282760
8/1/2023 0:00,2172,18990289
9/1/2023 0:00,2242,8457411
10/1/2023 0:00,2571,11402806
11/1/2023 0:00,2721,8553156
12/1/2023 0:00,3550,11186191
1/1/2024 0:00,3022,18917753
2/1/2024 0:00,2883,23545000
3/1/2024 0:00,2393,18767432
4/1/2024 0:00,1857,32510503
5/1/2024 0:00,2132,19402681
6/1/2024 0:00,1874,17465549
7/1/2024 0:00,2294,18531248
8/1/2024 0:00,3096,9774184
9/1/2024 0:00,3079,9205546
10/1/2024 0:00,3889,15454420
11/1/2024 0:00,3522,9969165
12/1/2024 0:00,4234,17065632
